shop_id,shop_name,username,rating_star,follower_count,item_count,is_official_shop,response_rate,response_time,rating_good,rating_normal,rating_bad,cancellation_rate,created_at,vacation,country_code,date
1112776376,Scora Official Store,scoraofficial,4.868182,1130746,97,True,60,8410,2004850,29573,4239,0,2023-11-08T07:33:05+00:00,False,id,2026-07-03
1368540320, Cyeecare Official Store,cyeecare.id,4.824111,148642,75,True,100,99,297631,8673,1481,0,2024-09-27T06:06:35+00:00,False,id,2026-07-03
1379527329,ZOICY Official Store,zoicy,4.932727,2930,19,True,100,87,4948,32,2,0,2024-10-11T07:19:30+00:00,False,id,2026-07-03
187405886,Alara Cosmetic Official Store,alaracosmetic.official,4.787985,6763,7,True,39,6525,4839,140,30,29,2019-10-11T02:08:13+00:00,False,id,2026-07-03
200048291,Prettywell Official Shop,prettywell.co,4.894138,114212,38,True,98,5714,75002,785,78,0,2019-11-15T14:45:53+00:00,False,id,2026-07-03
430940247,Mooi Pure Glow Official Shop,mooiglowserum,4.798412,60238,53,True,100,149,59170,1991,364,0,2021-04-26T06:12:46+00:00,False,id,2026-07-03
697604885,ghaniskin,ghaniskin,4.863366,44783,3,False,90,7397,37973,635,116,0,2022-02-24T05:32:19+00:00,False,id,2026-07-03
779266191,lavojoy Official Shop,lavojoy,4.886074,837182,40,True,100,3,732244,10381,1982,0,2022-05-25T01:34:30+00:00,False,id,2026-07-03
809769142,Glad2Glow Official Store,glad2glow.indo,4.879652,5569809,225,True,100,31,8186740,94888,19864,0,2022-07-04T10:29:56+00:00,False,id,2026-07-03
859233628,He-Ji Official Store,hejiofficial,4.807281,10933,10,True,100,5076,19853,593,134,0,2022-09-08T03:09:36+00:00,False,id,2026-07-03
108166524,Nestlé Chính hãng,nestlevnn,4.923517,476759,1753,True,100,947,821759,8814,6621,0,2018-11-27T10:26:31+00:00,False,vn,2026-07-03
1145316676,Nestlé Health Science,nestlehealthscience,4.874526,11637,119,True,100,65,15891,302,213,1,2023-12-18T07:13:25+00:00,False,vn,2026-07-03
140360136,Kinh Do Official Store,kinhdo_official_store,4.871107,548137,172,True,100,54,251786,4783,3617,29,2019-04-16T07:16:51+00:00,False,vn,2026-07-03
1546895026,Mars Snacking VN,mars.wrigley.vn,4.937186,14986,97,True,100,257,27368,202,138,0,2025-05-21T07:02:06+00:00,False,vn,2026-07-03
173513432,Richy - Chi Nhánh Miền Bắc,richystore.mb,4.921164,96105,325,False,98,10445,113035,1351,788,0,2019-08-27T10:13:18+00:00,False,vn,2026-07-03
213989179,Bibica Official Store ,bibica_corporation,4.897342,84664,98,True,98,6994,46422,746,439,0,2019-12-26T02:53:09+00:00,False,vn,2026-07-03
289646907,Orion VN Official Store,orion_official_store,4.911955,87482,238,True,95,8097,72397,861,641,0,2020-07-27T06:50:37+00:00,False,vn,2026-07-03
430972539,Perfetti Van Melle Vietnam,perfetti_officialstore,4.931921,255284,23,True,100,55,49047,521,279,0,2021-04-26T07:22:24+00:00,False,vn,2026-07-03
438905996,Richy - Chi nhánh Miền Nam,richystore.mn,4.928552,41472,298,False,99,6160,60250,619,360,0,2021-05-07T03:03:10+00:00,False,vn,2026-07-03
464391416,Bánh Kẹo Hải Hà - Chính hãng,haihaco_hcm,4.947162,10920,32,False,,,2337,22,16,0,2021-06-11T03:46:25+00:00,False,vn,2026-07-03
